,108.956
0,108.986
1,108.926
2,108.941
3,108.919
4,109.001
5,108.901
6,108.961
7,108.887
8,109.041
9,108.953
10,108.945
11,108.94
12,108.94
13,109.003
14,108.969
15,109.062
16,109.113
17,109.049
18,109.032
19,109.103
20,108.948
21,108.978
22,108.945
23,108.974
24,108.956
25,108.796
26,108.993
27,109.074
28,108.958
29,109.008
30,109.004
31,109.063
32,108.95
33,109.079
34,109.006
35,109.029
36,108.956
37,109.066
38,108.946
39,109.014
40,108.833
41,109.034
42,108.898
43,108.974
44,109.053
45,109.054
46,108.994
47,109.076
48,108.996
49,108.99
50,109.077
51,108.909
52,109.026
53,109.011
54,109.0
55,108.979
56,109.081
57,109.06
58,109.002
59,109.029
60,109.049
61,109.055
62,109.019
63,108.996
64,109.079
65,109.007
66,109.094
67,108.951
68,109.048
69,108.972
70,109.048
71,109.059
72,109.04
73,109.007
74,108.91
75,108.949
76,108.98
77,109.117
78,108.978
79,109.087
80,109.056
81,109.141
82,108.982
83,109.078
84,109.008
85,109.005
86,108.96
87,108.977
88,108.966
89,108.962
90,108.993
91,109.081
92,109.022
93,109.003
94,109.003
95,107.448
96,108.945
97,109.038
98,109.048
99,109.106
100,109.067
101,108.897
102,109.038
103,109.001
104,109.013
105,109.006
106,109.103
107,109.082
108,109.085
109,109.004
110,109.015
111,109.053
112,108.994
113,109.116
114,109.062
115,109.045
116,109.079
117,109.095
118,109.041
119,109.024
120,109.104
121,108.97
122,108.992
123,109.146
124,109.042
125,109.078
126,109.032
127,109.026
128,109.069
129,108.992
130,109.04
131,109.133
132,109.11
133,109.018
134,109.069
135,109.058
136,109.013
137,108.971
138,109.096
139,109.031
140,108.937
141,109.219
142,109.108
143,108.994
144,108.989
145,109.023
146,108.821
147,109.103
148,109.065
149,109.029
150,108.928
151,109.108
152,109.02
153,109.103
154,108.912
155,109.01
156,108.854
157,109.054
158,109.075
159,109.05
160,109.016
161,109.032
162,109.034
163,109.08
164,108.987
165,109.094
166,109.009
167,109.143
168,108.987
169,108.896
170,109.028
171,109.058
172,108.956
173,108.902
174,109.086
175,109.035
176,109.121
177,109.047
178,109.087
179,109.131
180,109.047
181,109.014
182,109.034
183,109.079
184,109.144
185,108.915
186,108.98
187,109.137
188,108.915
189,108.899
190,109.062
191,109.031
192,109.041
193,109.051
194,109.056
195,108.903
196,108.938
197,109.036
198,109.074
199,109.036
200,108.991
201,108.999
202,109.034
203,109.008
204,109.071
205,109.132
206,108.959
207,109.034
208,109.029
209,109.122
210,109.113
211,109.066
212,109.083
213,109.075
214,109.105
215,109.054
216,109.081
217,109.051
218,109.182
219,109.031
220,109.129
221,109.046
222,109.078
223,109.177
224,109.094
225,109.107
226,109.137
227,109.113
228,109.114
229,109.077
230,109.155
231,109.033
232,109.144
233,109.091
234,109.08
235,109.138
236,109.124
237,109.209
238,109.103
239,109.172
240,109.171
241,109.141
242,109.088
243,108.942
244,109.215
245,109.051
246,109.115
247,109.065
248,109.052
249,109.169
250,109.138
251,109.087
252,109.115
253,109.131
254,109.135
255,109.13
256,109.076
257,109.126
258,109.148
259,108.992
260,109.062
261,109.141
262,109.041
263,109.18
264,109.195
265,109.209
266,109.076
267,109.155
268,109.087
269,109.157
270,109.223
271,109.075
272,109.198
273,109.056
274,109.121
275,109.07
276,109.101
277,109.109
278,109.158
279,109.191
280,109.147
281,109.16
282,109.143
283,109.076
284,109.049
285,109.059
286,109.127
287,109.122
288,109.035
289,109.137
290,109.11
291,109.179
292,109.108
293,109.129
294,109.026
295,109.124
296,109.108
297,108.747
298,108.979
299,109.026
300,109.142
301,109.134
302,109.166
303,109.12
304,109.139
305,109.035
306,109.088
307,109.06
308,109.109
309,109.076
310,109.132
311,109.042
312,109.163
313,109.077
314,109.137
315,109.06
316,109.15
317,109.067
318,108.875
319,109.026
320,109.085
321,109.101
322,109.023
323,109.003
324,109.084
325,108.904
326,109.091
327,109.028
328,109.065
329,109.037
330,109.018
331,109.056
332,109.069
333,109.069
334,108.963
335,109.06
336,108.962
337,109.093
338,109.056
339,109.062
340,109.116
341,109.13
342,109.082
343,109.189
344,109.098
345,109.041
346,109.192
347,109.074
348,109.055
349,109.122
350,109.135
351,109.068
352,109.059
353,109.076
354,109.0
355,108.887
356,109.068
357,109.12
358,109.073
359,109.018
360,109.107
361,109.015
362,109.074
363,108.945
364,109.11
365,108.969
366,109.133
367,109.006
368,109.126
369,109.098
370,109.082
371,109.04
372,109.098
373,109.076
374,109.098
375,109.058
376,109.12
377,109.073
378,109.108
379,109.102
380,109.105
381,109.063
382,109.059
383,109.095
384,109.01
385,109.124
386,109.087
387,109.031
388,108.943
389,109.043
390,109.009
391,109.146
392,109.062
393,109.071
394,109.1
395,109.016
396,109.07
397,109.078
398,109.011
399,108.959
400,109.081
401,108.932
402,109.035
403,109.014
404,109.144
405,108.991
406,109.083
407,109.129
408,109.161
409,109.087
410,109.066
411,109.069
412,109.113
413,109.023
414,109.117
415,108.756
416,109.099
417,109.139
418,109.07
419,109.074
420,109.068
421,109.175
422,109.033
423,109.068
424,109.076
425,109.111
426,109.121
427,109.097
428,109.068
429,109.078
430,109.182
431,109.105
432,108.956
433,109.121
434,109.034
435,109.155
436,109.124
437,108.983
438,109.145
439,109.088
440,109.04
441,109.028
442,109.104
443,109.048
444,109.083
445,109.033
446,108.991
447,108.909
448,109.047
449,109.181
450,109.1
451,109.055
452,108.963
453,109.09
454,109.152
455,109.097
456,109.06
457,109.086
458,109.009
459,109.08
460,109.1
461,106.29
462,108.978
463,109.029
464,109.045
465,109.114
466,109.029
467,109.09
468,109.003
469,109.09
470,109.043
471,109.095
472,109.115
473,109.103
474,109.025
475,109.068
476,109.047
477,109.076
478,108.888
479,109.117
480,109.15
481,109.015
482,109.233
483,109.17
484,109.136
485,109.045
486,109.099
487,109.105
488,109.15
489,108.934
490,109.12
491,109.095
492,109.203
493,109.038
494,109.069
495,109.04
496,109.083
497,109.1
498,109.053
499,109.037
500,109.047
501,109.087
502,109.143
503,108.993
504,109.112
505,109.084
506,109.153
507,109.101
508,109.071
509,109.044
510,109.125
511,109.065
512,108.996
513,109.118
514,109.151
515,109.074
516,109.088
517,109.076
518,109.124
519,108.892
520,109.09
521,109.124
522,109.081
523,109.075
525,109.069
526,109.092
527,109.113
528,108.991
529,109.055
530,109.057
531,109.129
532,109.061
533,109.166
534,109.121
535,109.129
536,109.113
537,109.047
538,109.099
539,109.108
540,109.161
541,109.058
542,109.075
543,109.032
544,108.907
545,109.129
546,109.118
547,109.135
548,109.168
549,109.027
550,109.05
551,109.079
552,109.081
553,109.14
554,109.135
555,109.092
556,109.029
557,109.037
558,109.036
559,109.091
560,109.1
561,109.083
562,106.461
563,109.115
564,109.015
565,109.028
566,109.099
567,109.108
568,109.104
569,109.129
570,109.099
571,109.037
572,109.09
573,109.119
574,106.293
575,109.029
576,109.062
577,109.09
578,109.051
580,109.11
581,109.034
582,109.111
583,109.117
584,109.214
585,109.047
586,109.099
587,109.054
588,109.102
589,109.131
590,109.137
591,109.052
592,108.915
593,109.03
594,109.073
595,109.058
596,109.142
597,109.174
598,109.124
599,109.073
600,108.948
601,109.014
602,109.123
603,109.106
604,109.104
605,109.036
606,109.067
608,109.014
609,109.126
610,109.103
612,109.099
613,109.119
614,109.104
615,108.983
616,108.599
617,109.086
618,109.045
619,109.047
620,109.051
621,109.054
622,109.023
623,109.03
624,109.119
625,109.009
626,109.076
627,108.848
628,109.089
629,109.181
630,109.143
631,109.082
632,109.051
633,109.089
634,109.157
635,109.103
636,109.074
637,109.018
638,109.122
639,109.124
640,109.089
641,109.013
642,105.417
643,109.1
644,109.103
645,109.024
646,109.1
647,109.151
648,109.151
649,109.124
650,109.09
651,109.046
652,108.731
653,106.166
654,108.999
655,109.058
656,109.193
657,109.111
659,109.126
660,109.078
661,109.054
662,109.083
663,109.124
664,108.944
665,109.053
666,109.076
667,109.112
668,109.01
669,108.971
670,109.062
671,106.08
672,109.055
673,109.094
674,109.044
675,109.063
676,109.091
677,109.036
678,109.109
679,109.142
680,109.109
681,109.074
682,109.101
683,109.173
684,109.062
685,109.023
686,109.057
687,109.077
688,109.059
689,109.124
690,109.024
691,109.109
692,109.071
693,109.14
694,108.556
695,108.996
696,109.04
697,109.136
698,109.102
699,109.067
700,108.975
701,108.919
702,109.053
703,109.057
704,108.975
705,108.967
706,109.102
707,109.041
708,109.142
709,109.09
710,109.107
711,109.003
712,109.09
713,109.071
715,109.102
716,109.074
717,109.131
718,109.089
719,109.171
720,109.092
721,108.923
722,109.113
723,109.024
724,109.112
725,108.974
726,109.015
727,109.089
728,109.026
729,109.053
730,109.129
731,109.054
732,108.965
733,109.062
734,108.926
735,109.021
736,109.017
737,108.877
738,109.027
739,108.887
740,108.99
741,108.958
742,109.17
743,109.096
744,109.145
745,109.08
746,109.076
747,109.092
749,109.036
750,109.052
751,109.03
752,108.095
753,109.102
754,109.115
755,109.123
756,109.034
757,109.024
758,109.005
759,109.099
760,109.009
761,109.084
762,109.123
763,109.096
764,109.099
765,108.978
766,109.09
767,109.145
768,109.01
769,109.09
770,106.2
771,109.09
772,109.11
773,109.107
774,109.046
775,109.101
776,109.087
777,109.109
778,109.056
779,109.068
780,109.107
781,109.089
782,109.017
783,109.058
784,109.19
785,109.121
786,109.152
787,109.126
788,109.157
789,109.113
790,109.113
791,109.048
792,109.05
793,109.145
794,109.129
795,109.01
796,109.07
797,109.113
798,109.116
799,108.915
800,109.095
801,109.109
802,109.105
803,109.14
804,109.157
805,109.084
806,109.185
807,109.051
808,109.075
809,109.185
810,109.089
811,109.137
812,109.079
813,109.119
814,109.169
815,109.051
816,109.099
817,109.13
818,109.065
820,109.148
821,109.066
822,109.114
823,109.097
824,109.154
825,109.11
826,109.11
827,109.116
828,109.153
829,109.045
830,109.088
831,109.064
832,109.17
833,109.115
834,109.123
835,109.199
836,108.981
837,109.193
838,109.21
839,109.036
840,109.079
841,109.186
842,109.107
843,109.133
844,109.092
845,109.082
846,109.252
847,109.156
848,109.061
849,109.153
850,109.018
851,109.132
852,109.075
853,109.062
854,109.02
855,109.208
856,109.149
857,109.036
858,109.066
859,109.104
860,109.095
861,109.098
862,109.092
863,109.04
864,109.145
865,109.12
866,109.082
867,109.093
868,109.181
869,109.066
870,109.097
871,109.085
872,109.202
873,109.158
874,109.107
875,109.065
876,109.112
877,109.021
878,109.047
879,109.064
880,109.083
881,109.165
882,109.179
883,108.946
884,109.139
885,109.149
886,109.142
887,109.119
888,109.07
889,109.208
890,109.107
891,109.051
892,109.082
893,109.086
894,109.024
895,109.165
896,109.092
897,109.151
898,109.116
900,109.114
901,109.071
902,109.148
903,109.106
904,109.201
905,109.025
906,109.114
907,109.128
908,109.1
909,109.115
910,109.137
912,108.927
913,109.194
914,109.101
915,109.156
916,108.387
917,109.217
918,109.0
919,109.17
920,109.173
921,106.113
922,109.129
923,109.186
924,109.095
925,109.168
926,109.157
927,109.187
928,105.725
929,107.771
930,109.145
931,109.159
932,109.172
933,109.169
934,109.163
935,109.146
936,109.162
937,109.255
938,109.171
939,109.098
940,109.084
941,109.189
942,109.202
943,109.212
944,109.148
945,109.136
946,109.173
947,109.066
948,109.19
949,109.192
950,109.143
951,109.087
952,103.462
953,109.136
954,109.181
955,109.229
956,109.201
957,109.176
958,109.142
959,109.206
960,109.051
961,109.062
962,109.25
963,109.278
964,109.251
965,109.227
967,107.738
968,109.283
969,109.186
970,109.111
971,109.254
972,109.148
973,109.251
974,109.193
975,109.244
976,109.242
977,109.091
978,109.194
979,109.189
980,109.218
981,109.287
982,109.138
983,109.162
984,109.129
985,109.178
986,109.278
987,109.158
988,109.196
989,109.112
990,109.2
991,109.112
992,109.204
993,109.182
994,109.197
995,109.204
996,109.231
997,109.054
998,109.107
999,109.218
1000,109.147
1001,109.194
1002,109.273
1003,109.118
1004,109.015
1005,101.768
1006,109.216
1007,109.204
1008,109.176
1010,109.149
1011,109.149
1012,109.208
1013,109.21
1014,109.228
1015,109.26
1016,106.387
1017,109.208
1018,109.136
1019,109.178
1020,109.033
1021,109.189
1022,109.217
1023,109.218
1024,109.203
1025,109.261
1026,109.148
1027,109.193
1028,109.218
1029,109.087
1030,109.064
1031,103.848
1032,109.286
1033,109.241
1034,109.234
1035,109.195
1036,109.226
1037,109.226
1038,109.212
1039,109.115
1040,109.177
1042,109.106
1043,109.137
1044,109.156
1045,109.151
1046,109.206
1047,109.239
1048,109.161
1049,109.285
1050,109.297
