,name,target,calc,r2,mse,msa,expl-var
0,LinearR,['prr2'],mean,0.9340257473285988,-0.005702819453475774,-0.04920288601480692,0.9340482539814046
1,LinearR,['prr2'],std,0.003039069559864148,0.0002247885961279485,0.0006394767447665355,0.0030495185478405288
2,SVR,['prr2'],mean,0.8303374423995645,-0.01467142841230456,-0.09080373840231837,0.8381042718905606
3,SVR,['prr2'],std,0.003792625924229518,0.00038565774829397477,0.0007122950317184986,0.0041504690045238365
4,LinSVR,['prr2'],mean,0.5591983912884956,-0.038094575230128415,-0.11290398288659938,0.6438890249116964
5,LinSVR,['prr2'],std,0.21855068691232996,0.01872445156366698,0.016732849472082843,0.22567749414977123
6,NuSVR,['prr2'],mean,0.8732386117538276,-0.010962276708576118,-0.06397889862060038,0.8748583195548502
7,NuSVR,['prr2'],std,0.0038632970491859413,0.0003886716382535747,0.0009000903547063811,0.0040232733927724595
8,KNN,['prr2'],mean,0.908980437799978,-0.007870798636099102,-0.042418122969498456,0.9090217039591026
9,KNN,['prr2'],std,0.00400554604128075,0.00035868062050496853,0.0003116018268141419,0.003999569389274512
10,DecTreeReg,['prr2'],mean,0.9955173441124261,-0.0003878711996905213,-0.004288834500710289,0.9955189255287852
11,DecTreeReg,['prr2'],std,0.0010193572412955899,8.942437820829718e-05,0.00040684288111525414,0.0010192682487416616
12,NNET,['prr2'],mean,0.5838447743624104,-0.035975303367261194,-0.11646616315274869,0.729502768071449
13,NNET,['prr2'],std,0.30934373503288376,0.02652242602041555,0.052387660752815195,0.12872268373259796
14,GBE,['prr2'],mean,0.994968002559524,-0.0004349957919162744,-0.011215894545526439,0.9949697398245807
15,GBE,['prr2'],std,0.0002823276428431026,2.2702868912211013e-05,0.00027110702911366664,0.0002808480210818685
0,DecTreeReg,['prr2'],mean,0.9954934522342791,-0.000388273455435244,-0.004335673425571866,0.9954950002331359
1,DecTreeReg,['prr2'],std,0.0005555502980964297,4.727318367723627e-05,0.00038689901066589526,0.0005547877292269527
